sku,image_filename,product_handle,product_title,image_url,status
ITEM-031811,LISTING_tc-tfs_2btbl-16w8p-01-ws-1.jpg,2022-2024-ford-maverick-4-6ft-bed-tri-fold-tonneau-cover-w-led-lights,2022-2024 Ford Maverick 4.5 ft Bed Soft Tri-Fold Tonneau Cover Combo,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-tfs_2btbl-16w8p-01-ws-1.jpg?v=1773340193,ACTIVE
ITEM-031815,LISTING_tc-lru_2btbl-16w8p-01-ws-1_4cd3c3a9-804a-427b-9488-24cb0cdd9bd0.jpg,2022-ford-maverick-4-6ft-tonneau-cover-led-light-combo-kit,2022-2024 Ford Maverick 4.5 ft Bed Tonneau Cover & LED Light Kit,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lru_2btbl-16w8p-01-ws-1_4cd3c3a9-804a-427b-9488-24cb0cdd9bd0.jpg?v=1773340120,ACTIVE
ITEM-030855,LISTING_tc-lth-ws-2_7a6466db-335d-40be-9257-b68b05e41028.jpg,2022-ford-maverick-4-6-bed-hard-tri-fold-tonneau-cover-low-profile,2022-2024 Ford Maverick 4.5 ft Bed Tonneau Cover - Hard Tri-Fold,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lth-ws-2_7a6466db-335d-40be-9257-b68b05e41028.jpg?v=1773340123,ACTIVE
ITEM-030853,tc-lru-2_ef4e29b1-541e-4147-98ae-1e8bf6589bae.jpg,2022-ford-maverick-4-6ft-bed-soft-roll-up-tonneau-cover-5033115,2022-2024 Ford Maverick 4.5 ft Bed Tonneau Cover - Lock & Roll-Up,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tc-lru-2_ef4e29b1-541e-4147-98ae-1e8bf6589bae.jpg?v=1776218159,ACTIVE
ITEM-031814,LISTING_tc-lth_2btbl-16w8p-01-ws-2_418023a9-bab3-432f-b7ac-0d27d60f6524.jpg,2022-2024-ford-maverick-4-5-bed-tri-fold-tonneau-cover-w-led-kit,2022-2024 Ford Maverick 4.5 ft Bed Tonneau Cover Combo w/ LED - LTH,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lth_2btbl-16w8p-01-ws-2_418023a9-bab3-432f-b7ac-0d27d60f6524.jpg?v=1773340155,ACTIVE
ITEM-030849,tc-tfs-2_611e0c46-abd9-45b7-9d92-a047f572b8e8.jpg,2022-ford-maverick-4-6ft-bed-soft-tri-fold-tonneau-cover-3033115,2022-2024 Ford Maverick 4.5 ft Bed Tri-Fold Tonneau Cover,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tc-tfs-2_611e0c46-abd9-45b7-9d92-a047f572b8e8.jpg?v=1776218160,ACTIVE
ITEM-032561,fg-tun22-bllb-bk-ks-st-2.jpg,2022-2024-toyota-tundra-led-front-grille-lex-style-glossy-black,2022-2024 Toyota Tundra LED Front Grille Lex Style - Glossy Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/fg-tun22-bllb-bk-ks-st-2.jpg?v=1776216919,ACTIVE
ITEM-032560,fg-tun22-bl-bk-ks-st-2.jpg,2022-2024-toyota-tundra-lex-style-abs-front-grille-glossy-black,2022-2024 Toyota Tundra Lex Style ABS Front Grille - Glossy Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/fg-tun22-bl-bk-ks-st-2.jpg?v=1776216921,ACTIVE
ITEM-033496,rr-lp-fullsize-uni-stl-2.jpg,2022-2025-ford-f-150-lightning-ev-low-profile-roof-basket-system,2022-2025 Ford F-150 Lightning EV Low Profile Roof Basket System,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/rr-lp-fullsize-uni-stl-2.jpg?v=1776216923,ACTIVE
ITEM-033435,th-nx22-c498-stl-2.jpg,2022-lexus-nx-2-trailer-hitch-receiver-class-3-mpn-13498,"2022-2025 Lexus NX250/NX350/NX350h/NX450h+ 2"" Trailer Hitch - Curt",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-nx22-c498-stl-2.jpg?v=1776216925,ACTIVE
